algorithm,hardware_size,logical_qubits,seed,status,layer_index,required_lifetime_layers,max_measure_delay_layers,dgraph_num_nodes,dgraph_num_edges,ff_chain_depth_raw,ff_chain_depth_shifted,shifted_unavailable_reason,depth_reference_kind,depth_reference_depth,elapsed_sec
VQE,10,36,1,success,313.0,27,25,1296,2450,35,1,,,,3.623
VQE,10,36,2,success,317.0,26,25,1296,2450,35,1,,,,3.445
VQE,10,36,3,success,311.0,26,24,1296,2450,35,1,,,,3.777
VQE,10,36,4,success,319.0,27,26,1296,2450,35,1,,,,4.185
VQE,10,64,0,success,1240.0,31,30,4096,7938,63,1,,,,23.921
VQE,10,64,1,success,1321.0,38,35,4096,7938,63,1,,,,27.945
VQE,10,64,2,success,1246.0,34,430,4096,7938,63,1,,,,23.765
VQE,10,64,3,success,1185.0,31,713,4096,7938,63,1,,,,22.669
VQE,10,64,4,success,1296.0,36,35,4096,7938,63,1,,,,24.657
VQE,12,64,0,success,927.0,33,177,4096,7938,63,1,,,,26.969
VQE,12,64,1,success,898.0,30,456,4096,7938,63,1,,,,24.141
VQE,12,64,2,success,990.0,35,56,4096,7938,63,1,,,,25.141
VQE,12,64,3,success,925.0,31,100,4096,7938,63,1,,,,24.545
VQE,12,64,4,success,945.0,32,323,4096,7938,63,1,,,,28.612
VQE,4,16,0,success,147.0,26,24,256,450,15,1,,independent_compiler,90,0.193
VQE,4,16,1,success,144.0,27,26,256,450,15,1,,independent_compiler,90,0.264
VQE,4,16,2,success,157.0,28,26,256,450,15,1,,independent_compiler,90,0.219
VQE,4,16,3,success,149.0,27,25,256,450,15,1,,independent_compiler,90,0.194
VQE,4,16,4,success,143.0,28,26,256,450,15,1,,independent_compiler,90,0.219
VQE,6,36,0,success,885.0,32,215,1296,2450,35,1,,,,4.259
VQE,6,36,1,success,938.0,33,137,1296,2450,35,1,,,,4.325
VQE,6,36,2,success,967.0,33,150,1296,2450,35,1,,,,4.387
VQE,6,36,3,success,879.0,32,31,1296,2450,35,1,,,,4.037
VQE,6,36,4,success,872.0,33,31,1296,2450,35,1,,,,4.019
VQE,8,64,0,success,1818.0,37,35,4096,7938,63,1,,,,28.146
VQE,8,64,1,success,1803.0,38,1071,4096,7938,63,1,,,,26.871
VQE,8,64,2,success,1858.0,38,1829,4096,7938,63,1,,,,25.762
VQE,8,64,3,success,1854.0,37,301,4096,7938,63,1,,,,26.823
VQE,8,64,4,success,1863.0,38,354,4096,7938,63,1,,,,28.569
